m,n,o,num_images,chi2,source_x,source_y,pos_rms,mag_rms,avg_mag_per,pos_A,mag_A,mag_err_A,mag_per_A,pos_B,mag_B,mag_err_B,mag_per_B,pos_C,mag_C,mag_err_C,mag_per_C,pos_D,mag_D,mag_err_D,mag_per_D,"POW_$z_{s,fid}$",POW_x,POW_y,POW_e,POW_$θ_{e}$,POW_$r_{Ein}$,POW_$\gamma$ (PWI)
1.5,0.30909,0.0,4,3.125755,0.1024835,0.03792989,0.0023685438564654024,61.39237635134349,669.9083802737291,0.0003605551275463592,-65.2946,-76.06060000000001,506.48894668400527,0.004701063709417266,17.7441,15.684099999999999,761.3640776699028,0.00044721359549995833,-57.029,-67.305,454.9727520435967,9.99999999999994e-05,108.6187,98.3407,956.8077446974119,1.0,0.1235814,0.0377105,0.07193413,-1.422334,0.4786219,1.561493
1.5,0.31818,0.0,5,3.12119,0.1038475,0.03791325,0.0023685438564654024,80.0048635533803,872.6729196043516,0.0003605551275463592,-82.8373,-93.6033,669.4343302990897,0.004701063709417266,22.2626,20.2026,980.7087378640776,0.00044721359549995833,-72.3747,-82.6507,604.3080965356171,9.99999999999994e-05,137.3388,127.06079999999999,1236.240513718622,1.0,0.1222532,0.03772244,0.06177292,-1.423123,0.4785501,1.508134
1.5,0.32727,0.0,4,3.126012,0.102396,0.03793355,0.002372235232855293,60.3670415697382,658.730631255411,0.00044721359549995833,-64.3282,-75.0942,497.5125394761285,0.004701063709417266,17.4947,15.434700000000001,749.2572815533981,0.00044721359549995833,-56.1836,-66.4596,446.7458154924095,9.99999999999994e-05,107.0358,96.75779999999999,941.4068884997081,1.0,0.1236755,0.03771205,0.07263134,-1.422797,0.4786204,1.564994
1.5,0.33636,0.0,5,3.120423,0.1040068,0.03791675,0.002372235232855293,83.09522501509939,906.2741062836259,0.00044721359549995833,-85.7498,-96.5158,696.4870889838379,0.004701063709417266,23.0078,20.9478,1016.8834951456312,0.00044721359549995833,-74.922,-85.198,629.0969248734916,9.99999999999994e-05,142.1066,131.8286,1282.628916131543,1.0,0.122049,0.03772948,0.06042439,-1.424,0.4785433,1.500973
1.5,0.34545,0.0,0,345.6827,0.09214383,0.0367054,,,,,,,,,,,,,,,,,,,,1.0,0.09215,0.03670418,2.59382e-05,-20.58675,0.4804788,1.501203
1.5,0.35455,0.0,4,3.131062,0.101098,0.03794548,0.0023685438564654024,48.149402452029456,525.3896455748785,0.0003605551275463592,-52.8083,-63.5743,390.5099386958945,0.004701063709417266,14.5131,12.4531,604.5194174757281,0.00044721359549995833,-46.1077,-56.383700000000005,348.69307123394316,9.99999999999994e-05,88.1684,77.8904,757.8361548939482,1.0,0.1249715,0.03769628,0.08268571,-1.421566,0.478687,1.61267
1.5,0.36364,0.0,4,3.134849,0.1002368,0.0379518,0.002372235232855293,41.73889802872735,455.3246124013077,0.00044721359549995833,-46.7607,-57.5267,334.3368010403121,0.004701063709417266,12.943,10.883,528.3009708737864,0.00044721359549995833,-40.8186,-51.0946,297.22265472946674,9.99999999999994e-05,78.2606,67.98259999999999,661.4380229616656,1.0,0.1258852,0.0376835,0.08970538,-1.420833,0.4787105,1.643454
1.5,0.37273,0.0,0,345.8116,0.09191962,0.03661302,,,,,,,,,,,,,,,,,,,,1.0,0.09191942,0.03661304,7.697921e-07,-106.1814,0.4807554,1.500626
1.5,0.38182,0.0,2,349.1425,0.09183602,0.0367523,0.5972123470759793,129193.53869298275,3136322.278200803,0.2599177177492908,87.9599,77.1939,717.0156046814044,0.6393419898614512,-258389.1025,-258391.1625,12543060.31553398,0.8012173862317267,87.9599,77.68390000000001,755.974114441417,0.5553248148606362,87.9599,77.6819,755.8075501070247,1.0,0.09183676,0.03675208,5.781901e-06,-26.93855,0.4809365,2.199493
1.5,0.39091,0.0,4,3.128883,0.1016616,0.037944,0.002372235232855293,52.82050243447141,576.4101830414443,0.00044721359549995833,-57.2136,-67.9796,431.4285714285714,0.004701063709417266,15.6558,13.595799999999999,659.9902912621358,0.00044721359549995833,-49.9606,-60.236599999999996,386.1872323861425,9.99999999999994e-05,95.3834,85.10539999999999,828.0346370889276,1.0,0.1244395,0.03770621,0.07841435,-1.42299,0.4786454,1.592943
1.5,0.4,0.0,5,3.12238,0.1034354,0.03792549,0.0023685438564654024,73.83446399720796,805.4633318154957,0.0003605551275463592,-77.0221,-87.7881,615.4198402377856,0.004701063709417266,20.765,18.705000000000002,908.0097087378641,0.00044721359549995833,-67.2869,-77.5629,554.7966134682757,9.99999999999994e-05,127.82,117.54199999999999,1143.6271648180577,1.0,0.1226175,0.03772617,0.06467836,-1.423691,0.4785786,1.524195
1.5,0.40909,0.0,5,3.120639,0.1039521,0.03791388,0.002372235232855293,82.01194016021387,894.4994453130846,0.00044721359549995833,-84.7286,-95.4946,687.0016719301505,0.004701063709417266,22.7469,20.6869,1004.2184466019418,0.00044721359549995833,-74.0292,-84.3052,620.4087193460491,9.99999999999994e-05,140.4354,130.1574,1266.3689433741972,1.0,0.1221212,0.03772527,0.06089307,-1.423994,0.4785476,1.503389
1.5,0.41818,0.0,5,3.122744,0.1033105,0.03792178,0.0023685438564654024,72.07028340708464,786.2474671466509,0.0003605551275463592,-75.359,-86.125,599.972134497492,0.004701063709417266,20.3369,18.2769,887.2281553398059,0.00044721359549995833,-65.8327,-76.1087,540.6451926819775,9.99999999999994e-05,125.0981,114.8201,1117.1443860673282,1.0,0.1227338,0.03772004,0.06558475,-1.423114,0.4785845,1.529035
1.5,0.42727,0.0,5,3.121087,0.1038341,0.03791427,0.002372235232855293,79.83481455770095,870.8145453600991,0.00044721359549995833,-82.677,-93.44300000000001,667.9453836150846,0.004701063709417266,22.2208,20.160800000000002,978.6796116504854,0.00044721359549995833,-72.2345,-82.5105,602.9437524328532,9.99999999999994e-05,137.0766,126.79860000000001,1233.6894337419733,1.0,0.1222578,0.0377231,0.0618421,-1.423611,0.4785451,1.508632
